subject,ects,classtype,term,offered,first_year,description
From Mordor to Matrix. The Fantastic Political Philosophy,3,Wykład,winter,True,True,"* Przedmiot prowadzony przez dr. hab Bartosza Bolechówa z Instytutu Politologii. *

Zapoznanie studentów z problematyką będącą przedmiotem zainteresowania
filozofii oraz antropologii polityki (natura polityki, wspólnoty politycznej i człowieka
jako „zwierzęcia politycznego”; uniwersalne mechanizmy i aporie władzy,
koncepcje strukturalnej organizacji społeczeństwa; pochodzenie, zmienność,
ewolucja– progres, regres, cykliczność - i postulowana wartość moralna ustrojów
oraz instytucji politycznych; światopoglądy, ideologie, modele polityczne i ich
zderzenia z praxis; legitymizacja; dyskurs polityczny; konflikt społeczny;
rewolucja i wojna; mechanizmy fanatyzmu, ekstremizmu i radykalizmu, utopia
jako fikcja spekulatywna; dystopia jako krytyka polityczna, sprzężenie zwrotne
między nieuświadomioną i uświadomioną fikcją a praktyką polityczną) poprzez
analizę utworów, gatunków, konwencji i toposów historycznej oraz współczesnej
fantastyki."
Professional Practice,4,Realizacja zadań postawionych przez pracodawcę.,winter,True,False,Zaliczenie praktyki zawodowej jest wymagane do ukończenia studiów pierwszego stopnia.
Mentoring for Data Science,0,,winter,True,False,A series of meetings with a teacher designated as mentor for Data Science students. Students are welcome to make individual appointments with the mentor whenever they need advice or help in all academic matters.
Sport programming in practice,2,,winter,True,False,"Na zajęciach studenci będą rozwiązywali zadania z zespołowych zawodów  
programistycznych. Każde spotkanie będzie miało formę pięciogodzinnego  
treningu przygotowanego na podstawie jednego z konkursów organizowanych  
w formule ICPC. Głównym celem zajęć jest przygotowanie drużyn, które  
reprezentują Uniwersytet Wrocławski w Akademickich Mistrzostwach Polski  
w Programowaniu Zespołowym, a później w zawodach ICPC. Ta drużynowa  
formuła nie oznacza jednak, że warunkiem uczestniczenia w zajęciach jest  
posiadanie stałej drużyny, gdyż celem naszych spotkań będzie także  
sprawdzenie w praktyce różnych strategii i składów zespołów."
Clone: Financial Services,3,"Wykład, ćwiczenia",winter,True,False,"**Przedmiot prowadzony przez dr hab., prof. UWr  Edytę Rutkowską z Instytutu Nauk Ekonomicznych.**

#### Cele przedmiotu
1. Przedstawienie kompleksowej wiedzy o istocie, specyfice i cechach charakterystycznych usług
finansowych oraz instytucji je świadczących (instytucji finansowych).
2. Zapoznanie studenta z zagrożeniami i ryzykiem związanym z usługami finansowymi.
3. Zapoznanie z całokształtem regulacji prawnych dotyczących usług finansowych.
#### Treści programowe
Pojęcie i specyfika usług finansowych (usługi bankowe, kredytowe, płatnicze, ubezpieczeniowe,
inwestycyjne); Klient usług finansowych (klient detaliczny, klient profesjonalny, konsument) Źródła
zagrożeń i ryzyka dla klientów usług finansowych. Regulacja usług finansowych w UE.

Podmioty świadczące legalnie usługi finansowe w UE. Zasady podejmowania i prowadzenia
działalności w zakresie świadczenia usług finansowych w UE.

Nowe technologie na rynku usług finansowych. Fin-Tech – problemy pojęciowe i regulacyjne.
Korzyści zagrożenia, - ryzyka dla konsumentów i wyzwania

Umowy o usługi finansowe i ich regulacja w UE - ogólna charakterystyka i tendencje dotyczące ich
regulacji w UE. Koszty usług finansowych (Odpłatność za usługi finansowe)- odsetki, opłaty, prowizje
i inne koszty ponoszone przez klientów). Obowiązki instytucji finansowych wobec klientów usług
finansowych

Usługi depozytowe ich charakterystyka i regulacja

Usługi typu kredytowego ich charakterystyka i regulacja (kredyt bankowy, kredyt hipoteczny, kredyt
konsumencki, konsumencki kredyt hipoteczny, odwrócony kredyt hipoteczny, leasing)

Usługi ubezpieczeniowe ich charakterystyka i regulacja. Dystrybucja usług ubezpieczeniowych

Usługi płatnicze ich charakterystyka i regulacja

Usługi inwestycyjne ich charakterystyka i regulacja

Usługi emerytalne ich charakterystyka i regulacja"
Tutoring ISIM,0,,winter,True,True,"Celem tutoringu jest czuwanie nad właściwą organizacją pracy przez
studenta, śledzenie jego postępów i pomoc w sytuacjach trudnych.

Zajęcia w ramach przedmiotu nie mają wyznaczonych cotygodniowych terminów, lecz odbywają się kilkakrotnie w czasie semestru w terminach wyznaczonych przez prowadzących, w ramach spotkań indywidualnych lub grupowych. Dodatkowo prowadzący są do
dyspozycji studentów na bieżąco, gdy pojawiają się problemy związane z tokiem studiów."
Seminar: Analysis of algorithmic problems,3,,winter,True,True,"Uwaga: seminarium planujemy prowadzić (pod taką samą nazwą) zarówno w semestrze zimowym jak i letnim. Można je będzie zaliczyć więcej niż raz.

Zajęcia będą poświęcone analizie trudnych zadań z zawodów programistycznych
typu ICPC, TopCoder, czy Google Code Jam.

Głównym celem spotkań będzie zarówno zapoznanie studentów z ogólnymi
zaawansowanymi technikami algorytmicznymi, które przydają się w takich
problemach, a nie są przedstawiane na wykładzie z Algorytmów i Struktur
Danych, jak i regularne omawianie ciekawszych zadań, które pojawią się na
niedawno przeprowadzonych konkursach. Podczas dyskusji zostaną poruszone także
bardziej praktyczne kwestie sprawnej implementacji skomplikowanych rozwiązań.

Zajęcia są przeznaczone dla studentów, którzy zdobyli już spore doświadczenie
podczas startów w zawodach programistycznych podczas studiów lub z sukcesami
startowali w Olimpiadzie Informatycznej.

Jeśli prowadzenie zajęć stacjonarnych okaże się niemożliwe to seminarium będzie miało formę spotkań online."
Geometric Optimization,6,,winter,True,False,"The course will be given by Sandip Banerjee.
It will cover the following topics:

1) Randomized Incremental Construction (RIC) (2-3 lectures)
* Random sampling in computational geometry
* Convex hull, Dynamic maintenance using RIC
* RIC of Delaunay and Voronoi diagrams.

2) Epsilon-approximation and Epsilon-nets (2 lectures)
* Basic definitions, applications, range space and VC-dimension
 * Discrepancy

3) Geometric covering problems (2-3 lectures)
* Geometric Covering and packing problems
* Geometric hitting set problem

4) Coresets and Clustering (3-4 lectures)
*  Centroid based like k-center, k-median, k-means and Density based clustering
        like min-sum clustering 

5) Metric embedding (3-4 lectures)

 * Basic definition, doubling metric, distortion
 * Emedding into l_p space
 * JL-lemma
 * Probabilistic embedding

6) Network design (2-3 lectures)
* Eucledian spanners
* Well-separated pair decomposition
* Euclidean TSP

Pre-requisite: (i) Algorithm course.(ii) Basic idea of Linear programming and probability
will help but not mandatory. 

Literature: A large part of the course will follow the books:

   (i) Geometric approximation algorithms (Author- Sariel Har-Peled)

   (ii) Algorithmic geometry (Author- J.D. Boissonnat,  Mariette Yvinec and
           Herve Bronniman)"
Diploma Project,4,"Studenci prezentują wyniki etapów realizacji pracy dyplomowej
Podczas zajęć następuje systematyzacja wiedzy i rozwinięcie umiejętności planowania zakresu i przebiegu produktu przedsięwzięcia informatycznego.
Przedmiot  Projekt Dyplomy ma charakter wspomagający przygotowanie, redakcje i kompletacje  dokumentacji  i innych produktów wytwarzanych w celu osiągnięcia celu pracy dyplomowej.
 Zajęcia przygotowują do samodzielnego i świadomego współudziału w analizie zagadnień, kształtowaniu i planowaniu projektów informatycznych.",winter,True,False,W ramach przedmiotu studenci przygotowują prace dyplomową wymaganą do zakończenie studiów lic/inż pod kierunkiem dr. inż Leszka Grocholskiego. Tematy proc dyplomowych wymagają zaakceptowania przez Komisję ds. Prac Dyplomowych.
Object-oriented Software Development,6,"* Pracownia programistyczna
* Wykład

W razie konieczności nauczania zdalnego - materiały online.",winter,True,False,"Wykład skierowany jest do przyszłych architektów systemów informatycznych oraz
do wszystkich programistów zainteresowanych udoskonaleniem swojego warsztatu.
Celem wykładu jest zapoznanie studentów z kanonem współczesnych narzędzi w
zakresie projektowania obiektowego oprogramowania.

Materiał wykładu obejmuje:

  * podstawy języka UML w zakresie wymaganym przez projekty analityczne i techniczne
  * zasady SOLID i GRASP
  * przegląd katalogu wzorców projektowych (GoF) (m.in. Observer, Builder, Bridge, State, Strategy, Facade, Adapter, Mediator, itd.)
  * przegląd katalogu wzorców architektury aplikacji (wzorce architektoniczne) (m.in. Model-View-Controller, Object-Relational Mapping, Dependency Injection, Service Locator, Mock Object, itd.)
  * przegląd katalogu wzorców architektury systemów (Enterprise Service Bus, Single Sign-on)

Celem pracowni jest praktyczny kontakt z materiałem z wykładu.

Wymagania: ukończony kurs języka Java lub C# (wszystkie przykłady będą
bazowały na języku C#)

Literatura:

  1. Wrycza, Marcinkowski, Wyrzykowski - Język UML 2.0 w modelowaniu systemów informatycznych
  2. Fowler - Refactoring: Improving the Design of Existing Code Gamma, Helm, Johnson, Vlissides: Design Patterns: Elements of Reusable Object-Oriented Software
  3. Fowler - Patterns of Enterprise Application Architecture Microsoft Patterns & Practices - Application Architecture Guide"
Project: Development of the Enrollment System,4,"* Projekt programistyczny
* Pracownia programistyczna",winter,True,False,"W ramach projektu grupa studentów rozwija istniejący System Zapisów na zajęcia: ulepsza istniejące funkcjonalności, usuwa niepotrzebne i wprowadza nowe.

System Zapisów napisany jest w Pythonie z użyciem framework-u Django, a elementy front-endowe zazwyczaj powstają w TypeScript'cie. Jednakowoż znajomość tych technologii nie jest warunkiem koniecznym uczestnictwa w projekcie. Oczekuje się od studentów raczej gotowości do zanurzenia się w dużym, istniejącym projekcie, rozpoznania terenu i wykonywania w nim zadań.

Przedmiot zalicza wymaganie projektu zespołowego. Można uczestniczyć w nim wielokrotnie.

Praca zespołowa studentów oparta jest na GitHubie (issue, pull-request, code-review), a bieżąca komunikacja jest asynchroniczna (z wykorzystaniem komunikatora)."
Seminar: Software Engineering,3,Prepared by students lectures,winter,True,False,"During Seminar Software Engineering Students  present popular standards, methods, tools use during software development. 
In presentation it is particularly important for students who work in leading IT companies to inform less experience students information about what methods they use and what tools they use when developing software.
Seminar aimed at inspiring future software engineers for self-development  and  self-preparation for professional work."
Digital logic,6,"* Ćwiczenia audytoryjne
* Pracownia programistyczna
* Wykład",winter,True,True,"Wykład jest wprowadzeniem do projektowania układów cyfrowych. Celem wykładu
jest nauczenie zasad rządzących funkcjonowaniem elektroniki cyfrowej oraz
typowych rozwiązań stosowanych przy projektowaniu układów. Wiedza zdobyta na
wykładzie pomoże w zrozumieniu zasady działania mikroprocesorów i
mikrokontrolerów oraz zasad rządzących programowalnymi układami logicznymi
FPGA.

#### Wymagania

Wykład nie wymaga wcześniejszego zaliczenia innych przedmiotów.

#### Program

  1. Wprowadzenie do układów cyfrowych
  2. Technologie implementacji układów cyfrowych
  3. Elementy Veriloga jako języka opisu sprzętu
  4. Optymalizacja funkcji logicznych
  5. Układy arytmetyczne
  6. Podstawowe układy kombinacyjne
  7. Zatrzaski i przerzutniki
  8. Automaty Moore'a i Mealy'ego
  9. Układy sekwencyjne
  10. Budowa prostego procesora

#### Literatura

  * Fundamentals of Digital Logic with Verilog Design; Brown, Vranesic; McGraw-Hill
  * Digital Design: With an Introduction to the Verilog HDL, VHDL, and SystemVerilog (6th Edition); Mano, Ciletti; Pearson"
Programming methodology,9,"wykład, live coding, dyskusja, rozwiązywanie zadań z komentowaniem, indywidualne/grupowe rozwiązywanie zadań, samodzielna praca przy komputerze",winter,True,True,"Naszym celem jest przygotowanie studentów do używania języków programowania
jako formalnych narzędzi komunikacji między ludźmi, w szczególności jako
technik które mogą i powinny być stosowane do zapanowania nad złożonością
intelektualną dużych systemów. W tym celu zajmiemy się zarówno konkretnymi
narzędziami których projektanci języków programowania dostarczają
programistom, jak i ogólnymi zasadami konstrukcji języków programowania.

Wykład prowadzą Marek Materzok, Maciej Piróg i Filip Sieczkowski.

#### Program:

  1. Elementy programowania
  2. Rekursja i abstrakcja proceduralna
  3. Wprowadzenie do abstrakcji danych
  4. Dane hierarchiczne i własność domknięcia
  5. Dane symboliczne i wielorakie reprezentacje danych
  6. Składnia abstrakcyjna i podstawy ewaluacji
  7. Środowiskowy model obliczeń
  8. Ewaluator metacykliczny
  9. Reprezentacja wartości w metajęzyku
  10. Składnia konkretna jako język dedykowany
  11. Zarządzanie złożonością: kontrakty
  12. Zarządzanie złożonością: systemy typów
  13. Obliczenia z danymi modyfikowalnymi
  14. Elementy programowania współbieżnego
  15. Programowanie w logice"
Economic Policy Policy,3,Wykład,winter,True,False,"*Przedmiot prowadzony przez dr. Mirosława Strusia z  Instytutu Nauk Ekonomicznych.*

Celem przedmiotu jest zapoznanie studentów z podstawami i głównymi
pojęciami polityki gospodarczej w otwartej gospodarce rynkowej, w celu umożliwienia im lepszego
zrozumienia głównych zagadnień i problemów związanych z przebiegiem procesów gospodarczych."
